t,px,qty,sign,mm_involved,mid_mark,spread,maker_age_s,maker_queue_ahead_qty_entry
1.298787,99.9500000000,1,-1,1,99.8132337606,0.0100000000,0.942082,6
1.308493,99.9500000000,1,-1,1,99.7947426247,0.0100000000,0.930821,7
1.314182,99.9500000000,1,-1,1,99.7984097560,0.0100000000,0.838202,10
1.319277,99.9500000000,1,-1,1,99.7961734407,0.0100000000,0.838730,11
1.327405,99.9500000000,1,-1,1,99.7888493629,0.0100000000,0.488809,10
1.371387,99.9500000000,1,-1,1,99.8481587062,0.0100000000,0.528694,11
1.374898,99.9500000000,1,-1,1,99.8430202027,0.0100000000,0.528837,13
1.385537,99.9500000000,1,-1,1,99.8295083338,0.0100000000,0.538838,14
1.390459,99.9500000000,1,-1,1,99.8525463740,0.0100000000,0.543496,15
1.393894,99.9500000000,1,-1,1,99.8562898470,0.0100000000,0.325311,15
1.401668,99.9500000000,1,-1,1,99.8623220726,0.0100000000,0.331076,16
1.407081,99.9500000000,1,-1,0,99.8399954888,0.0100000000,0.317543,17
1.411189,99.9600000000,1,1,1,99.8393401804,0.0100000000,0.116292,0
1.419646,99.9500000000,1,-1,1,99.8417575467,0.0100000000,0.234203,18
1.420768,99.9400000000,1,-1,1,99.8431894677,0.0200000000,1.192128,0
1.440642,99.9400000000,1,-1,1,99.8702453060,0.0200000000,1.210322,1
1.444606,99.9400000000,1,-1,1,99.8417024984,0.0200000000,1.209796,2
1.460586,99.9400000000,1,-1,1,99.8342574486,0.0200000000,1.105947,4
1.472930,99.9400000000,1,-1,1,99.8093394363,0.0200000000,0.878144,5
1.475025,99.9400000000,1,-1,1,99.8336288247,0.0200000000,0.630899,5
1.477056,99.9600000000,1,1,1,99.8418240441,0.0200000000,0.179977,1
1.479778,99.9400000000,1,-1,1,99.8472809407,0.0200000000,0.622064,6
1.494474,99.9400000000,1,-1,1,99.8480555696,0.0200000000,0.429882,9
1.500300,99.9600000000,1,1,1,99.8227387390,0.0200000000,0.200561,2
1.501531,99.9600000000,1,1,1,99.8085154868,0.0200000000,0.201029,3
1.514544,99.9400000000,1,-1,1,99.8014844556,0.0200000000,0.446909,10
1.520430,99.9400000000,1,-1,0,99.8037439803,0.0200000000,0.366236,10
1.528268,99.9300000000,1,-1,1,99.8441600930,0.0200000000,1.298405,0
1.531725,99.9300000000,1,-1,1,99.8496010333,0.0100000000,1.295436,1
1.535125,99.9400000000,1,1,1,99.8550363212,0.0100000000,0.004694,0
1.537584,99.9300000000,1,-1,1,99.8525134742,0.0100000000,1.300135,2
1.550120,99.9300000000,1,-1,1,99.8167648304,0.0100000000,1.310651,3
1.562813,99.9300000000,1,-1,1,99.7937631580,0.0100000000,0.975242,7
1.566486,99.9300000000,1,-1,1,99.7852006154,0.0100000000,0.715444,5
1.580938,99.9300000000,1,-1,1,99.7626394802,0.0100000000,0.729440,6
1.582696,99.9300000000,1,-1,1,99.7538935426,0.0100000000,0.729309,7
1.585821,99.9300000000,1,-1,1,99.7633704125,0.0100000000,0.732259,8
1.586174,99.9400000000,1,1,1,99.7683273200,0.0100000000,0.052230,1
1.592293,99.9300000000,1,-1,1,99.7702959288,0.0200000000,0.737382,9
1.614382,99.9300000000,1,-1,0,99.8233714835,0.0200000000,0.486564,10
1.624952,99.9300000000,1,-1,1,99.8341054363,0.0200000000,0.437188,11
1.625395,99.9300000000,1,-1,1,99.8355089699,0.0200000000,0.437435,12
1.627082,99.9200000000,1,-1,1,99.8337405975,0.0300000000,1.393587,1
1.640010,99.9200000000,1,-1,1,99.8385449271,0.0300000000,1.394066,2
1.641500,99.9500000000,1,1,1,99.8359971725,0.0300000000,0.117125,0
1.666508,99.9300000000,1,1,1,99.8712584032,0.0100000000,0.001113,0
1.692384,99.9200000000,1,-1,1,99.8560538109,0.0100000000,1.224518,4
1.695508,99.9200000000,1,-1,1,99.8689154570,0.0100000000,1.225690,5
1.702575,99.9200000000,1,-1,1,99.8438821627,0.0100000000,1.231287,6
1.703740,99.9200000000,1,-1,1,99.8427626074,0.0100000000,1.229952,7
1.708591,99.9200000000,1,-1,1,99.8492214816,0.0100000000,1.234001,8
1.725340,99.9200000000,1,-1,1,99.8061941447,0.0100000000,1.249372,9
1.730789,99.9200000000,1,-1,1,99.7971301469,0.0100000000,1.146652,9
1.732500,99.9200000000,1,-1,1,99.7977708335,0.0100000000,1.139350,10
1.752003,99.9200000000,1,-1,1,99.7744252489,0.0100000000,0.893418,10
1.772353,99.9200000000,1,-1,1,99.7805951193,0.0100000000,0.910792,11
1.772666,99.9200000000,1,-1,1,99.7787782305,0.0100000000,0.604581,14
1.773518,99.9200000000,1,-1,1,99.7891740950,0.0100000000,0.596810,15
1.778252,99.9200000000,1,-1,1,99.7771963265,0.0100000000,0.597238,16
1.779954,99.9200000000,1,-1,0,99.7909523229,0.0100000000,0.510460,17
1.785004,99.9100000000,1,-1,1,99.7874805209,0.0200000000,1.540999,1
1.801250,99.9100000000,1,-1,1,99.7847307212,0.0200000000,1.553758,2
1.817818,99.9100000000,1,-1,1,99.7726931869,0.0200000000,1.565521,3
1.824430,99.9100000000,1,-1,1,99.7821359787,0.0200000000,1.571957,4
1.827284,99.9100000000,1,-1,1,99.7684395578,0.0200000000,0.871505,4
1.842580,99.9100000000,1,-1,1,99.7942658832,0.0200000000,0.886685,5
1.846817,99.9100000000,1,-1,1,99.8205902800,0.0200000000,0.677040,12
1.852182,99.9100000000,1,-1,1,99.8224440608,0.0200000000,0.676721,13
1.864037,99.9100000000,1,-1,1,99.8200136042,0.0200000000,0.688316,14
1.870696,99.9100000000,1,-1,1,99.8180201171,0.0200000000,0.691684,15
1.872152,99.8900000000,1,-1,1,99.8231896735,0.0400000000,0.911051,1
1.878215,99.8900000000,1,-1,1,99.8177054309,0.0400000000,0.915188,2
1.880201,99.9300000000,1,1,1,99.8154040125,0.0400000000,0.213622,0
1.898082,99.8900000000,1,-1,0,99.8285110406,0.0300000000,0.733286,2
1.898706,99.8900000000,1,-1,1,99.8292890969,0.0100000000,0.723910,3
1.903674,99.8900000000,1,-1,1,99.8354339448,0.0100000000,0.728781,4
1.915285,99.8900000000,1,-1,1,99.8342716920,0.0100000000,0.739762,5
1.917834,99.8900000000,1,-1,0,99.8372647574,0.0100000000,0.732181,6
1.922121,99.8900000000,1,-1,0,99.8608554047,0.0100000000,0.703529,7
1.922318,99.8900000000,1,-1,0,99.8614951945,0.0100000000,0.656789,8
1.923353,99.8900000000,1,-1,0,99.8668538210,0.0100000000,0.239150,10
1.947419,99.9000000000,1,1,1,99.8308230282,0.0200000000,0.049008,0
1.952246,99.8800000000,1,-1,1,99.8313021884,0.0200000000,0.779473,0
1.959194,99.8800000000,1,-1,1,99.8041729678,0.0200000000,0.785841,1
1.961313,99.8800000000,1,-1,0,99.8004926025,0.0200000000,0.423945,3
1.965098,99.8700000000,1,-1,0,99.8123724859,0.0300000000,0.675358,1
1.966065,99.8700000000,1,-1,0,99.8030995119,0.0300000000,0.433230,1
1.966531,99.8700000000,1,-1,0,99.8025072473,0.0300000000,0.426857,2
1.971241,99.8600000000,1,-1,1,99.7946774241,0.0400000000,0.676345,0
1.978518,99.8600000000,1,-1,0,99.7998034308,0.0400000000,0.546497,1
