step,equity,inventory,bid,ask,bid_missing,ask_missing,t,mid_mark,microprice,spread,bid_sz,ask_sz,imbalance,cash,inv_value,realized_pnl,unreal_pnl,fees_paid,mm_fills,mm_cancels_sub,mm_cancels_ok,mm_bid_px,mm_ask_px,mm_bid_qty,mm_ask_qty,mm_at_best_bid,mm_at_best_ask,tob_share_bid,tob_share_ask,last_trade_px,last_trade_sign
1550,119.5728000008,-14,100.0400000000,100.0600000000,0,0,155.100000,100.0400000000,100.0521739130,0.0200000000,14,9,0.217391,1520.1328000008,-1400.5600000000,116.2268037264,0.5431962733,-2.8028000000,14014,19321,1902,nan,nan,0,0,0,0,nan,nan,100.0600000000,1
1551,119.8256000008,-6,100.0500000000,100.0600000000,0,0,155.200000,99.9900000000,100.0541666667,0.0100000000,5,7,-0.166667,719.7656000008,-599.9400000000,116.5240779978,0.4959220019,-2.8056000000,14028,19337,1902,100.0500000000,100.1200000000,1,1,1,0,0.2000000000,nan,100.0600000000,1
1552,119.5480000008,-2,100.0400000000,100.0600000000,0,0,155.300000,100.0500000000,100.0466666667,0.0200000000,9,18,-0.333333,319.6480000008,-200.1000000000,116.7199999997,0.0200000000,-2.8080000000,14040,19359,1904,99.9800000000,100.0600000000,1,1,0,1,nan,0.0555555556,100.0600000000,1
1553,119.1214000008,-15,100.0500000000,100.0700000000,0,0,155.400000,100.0900000000,100.0597142857,0.0200000000,17,18,-0.028571,1620.4714000008,-1501.3500000000,116.7599999997,-0.4500000000,-2.8114000000,14057,19390,1906,100.0500000000,100.1100000000,1,1,1,0,0.0588235294,nan,100.0600000000,1
1554,120.4730000008,-21,100.0500000000,100.0600000000,0,0,155.500000,100.0200000000,100.0580000000,0.0100000000,20,5,0.600000,2220.8930000008,-2100.4200000000,116.7624999997,0.8975000000,-2.8130000000,14065,19417,1908,100.0100000000,100.0700000000,1,1,0,0,nan,nan,100.0600000000,1
1555,120.2560000008,-8,100.0500000000,100.0600000000,0,0,155.600000,100.0000000000,100.0516666667,0.0100000000,5,25,-0.666667,920.2560000008,-800.0000000000,116.9393121690,0.5006878307,-2.8160000000,14080,19447,1910,99.9900000000,100.0600000000,1,1,0,1,nan,0.0400000000,100.0500000000,-1
1556,119.9470000008,-5,100.0400000000,100.0600000000,0,0,155.700000,100.0400000000,100.0461111111,0.0200000000,11,25,-0.388889,620.1470000008,-500.2000000000,117.0196560844,0.1103439153,-2.8170000000,14085,19453,1912,100.0100000000,nan,1,0,0,0,nan,nan,100.0500000000,-1
1557,119.6890000008,-15,100.0400000000,100.0600000000,0,0,155.800000,100.0700000000,100.0474074074,0.0200000000,10,17,-0.259259,1620.7390000008,-1501.0500000000,117.0196560844,-0.1496560847,-2.8190000000,14095,19460,1912,100.0100000000,100.0700000000,1,1,0,0,nan,nan,100.0400000000,-1
1558,120.9504000008,-8,100.0500000000,100.0600000000,0,0,155.900000,99.9300000000,100.0521739130,0.0100000000,5,18,-0.565217,920.3904000008,-799.4400000000,117.0898165782,1.0401834215,-2.8204000000,14102,19482,1914,100.0500000000,100.1000000000,1,1,1,0,0.2000000000,nan,100.0500000000,-1
1559,119.4340000008,4,100.0300000000,100.0500000000,0,0,156.000000,99.8800000000,100.0482978723,0.0200000000,43,4,0.829787,-280.0859999992,399.5200000000,117.2419999997,-0.6320000000,-2.8240000000,14120,19504,1915,99.9200000000,100.0500000000,1,1,0,1,nan,0.2500000000,100.0500000000,1
1560,118.4262000008,11,100.0300000000,100.0400000000,0,0,156.100000,99.8800000000,100.0365217391,0.0100000000,30,16,0.304348,-980.2537999992,1098.6800000000,117.2715999997,-1.6716000000,-2.8262000000,14131,19526,1917,99.8700000000,100.0400000000,1,1,0,1,nan,0.0625000000,100.0300000000,-1
1561,118.2776000008,18,100.0300000000,100.0400000000,0,0,156.200000,99.9300000000,100.0351515152,0.0100000000,17,16,0.030303,-1680.4623999992,1798.7400000000,117.2715999997,-1.8216000000,-2.8276000000,14138,19533,1918,99.8600000000,100.0400000000,1,1,0,1,nan,0.0625000000,100.0300000000,-1
1562,117.2288000008,22,100.0300000000,100.0400000000,0,0,156.300000,99.9000000000,100.0340000000,0.0100000000,10,15,-0.200000,-2080.5711999992,2197.8000000000,117.2806181815,-2.8806181818,-2.8288000000,14144,19538,1919,nan,100.0400000000,0,1,0,1,nan,0.0666666667,100.0300000000,-1
1563,114.6608000008,26,100.0200000000,100.0400000000,0,0,156.400000,99.8200000000,100.0357142857,0.0200000000,44,12,0.571429,-2480.6591999992,2595.3200000000,117.3083001611,-5.4783001614,-2.8308000000,14154,19544,1919,99.8400000000,100.0400000000,1,1,0,1,nan,0.0833333333,100.0300000000,-1
1564,114.6026000008,33,100.0200000000,100.0300000000,0,0,156.500000,99.8600000000,100.0270000000,0.0100000000,35,15,0.400000,-3180.7773999992,3295.3800000000,117.3175963087,-5.5475963090,-2.8326000000,14163,19566,1921,99.7800000000,100.0300000000,1,1,0,1,nan,0.0666666667,100.0200000000,-1
1565,114.1754000008,41,100.0200000000,100.0300000000,0,0,156.600000,99.8800000000,100.0262500000,0.0100000000,20,12,0.250000,-3980.9045999992,4095.0800000000,117.3286376852,-5.9886376855,-2.8354000000,14177,19575,1922,99.8000000000,100.0300000000,1,1,0,1,nan,0.0833333333,100.0200000000,-1
1566,111.5468000008,42,100.0200000000,100.0300000000,0,0,156.700000,99.8200000000,100.0257142857,0.0100000000,12,9,0.142857,-4080.8931999992,4192.4400000000,117.3416911570,-8.6316911573,-2.8368000000,14184,19584,1923,99.7100000000,100.0300000000,1,1,0,1,nan,0.1111111111,100.0200000000,-1
1567,110.5582000008,47,100.0200000000,100.0300000000,0,0,156.800000,99.8200000000,100.0220000000,0.0100000000,2,8,-0.600000,-4580.9817999992,4691.5400000000,117.3463029906,-9.6263029909,-2.8382000000,14191,19587,1924,99.6600000000,100.0300000000,1,1,0,1,nan,0.1250000000,100.0200000000,-1
1568,114.4504000008,56,100.0100000000,100.0300000000,0,0,156.900000,99.9200000000,100.0263157895,0.0200000000,31,7,0.631579,-5481.0695999992,5595.5200000000,117.3537362714,-5.7437362717,-2.8404000000,14202,19596,1926,nan,nan,0,0,0,0,nan,nan,100.0300000000,1
1569,107.1228000008,62,100.0100000000,100.0200000000,0,0,157.000000,99.8100000000,100.0162068966,0.0100000000,18,11,0.241379,-6081.0971999992,6188.2200000000,117.3498587772,-13.0698587775,-2.8428000000,14214,19616,1926,99.7900000000,100.0200000000,1,1,0,1,nan,0.0909090909,100.0200000000,1
1570,106.3850000008,73,100.0100000000,100.0200000000,0,0,157.100000,99.8300000000,100.0126666667,0.0100000000,4,11,-0.466667,-7181.2049999992,7287.5900000000,117.3498587772,-13.8098587775,-2.8450000000,14225,19629,1927,99.6500000000,100.0200000000,1,1,0,1,nan,0.0909090909,100.0100000000,-1
1571,117.1280000008,84,100.0000000000,100.0100000000,0,0,157.200000,99.9800000000,100.0085714286,0.0100000000,24,4,0.714286,-8281.1919999992,8398.3200000000,117.3362810789,-3.0562810792,-2.8480000000,14240,19644,1929,99.7300000000,100.0100000000,1,1,0,1,nan,0.2500000000,100.0100000000,1
1572,123.8294000008,83,100.0000000000,100.0100000000,0,0,157.300000,100.0600000000,100.0095000000,0.0100000000,19,1,0.900000,-8181.1505999992,8304.9800000000,117.3130037879,3.6669962118,-2.8494000000,14247,19653,1930,99.8000000000,100.0100000000,1,0,0,1,nan,0.0000000000,100.0100000000,1
1573,122.7908000009,76,100.0100000000,100.0200000000,0,0,157.400000,100.0500000000,100.0122222222,0.0100000000,2,7,-0.555556,-7481.0091999991,7603.8000000000,117.3422685287,2.5977314710,-2.8508000000,14254,19656,1931,99.8700000000,100.0200000000,1,1,0,1,nan,0.1428571429,100.0200000000,1
1574,119.7814000009,73,100.0100000000,100.0200000000,0,0,157.500000,100.0100000000,100.0140000000,0.0100000000,2,3,-0.200000,-7180.9485999991,7300.7300000000,117.3548105604,-0.4248105607,-2.8514000000,14257,19657,1932,99.8600000000,100.0200000000,1,1,0,1,nan,0.3333333333,100.0100000000,-1
1575,111.4928000009,76,100.0000000000,100.0200000000,0,0,157.600000,99.9000000000,100.0185714286,0.0200000000,13,1,0.857143,-7480.9071999991,7592.4000000000,117.3641991437,-8.7241991440,-2.8528000000,14264,19658,1932,99.8600000000,100.0200000000,1,1,0,1,nan,1.0000000000,100.0200000000,1
1576,106.9646000009,81,100.0000000000,100.0100000000,0,0,157.700000,99.8500000000,100.0020000000,0.0100000000,2,8,-0.600000,-7980.8853999991,8087.8500000000,117.3564325702,-13.2464325705,-2.8546000000,14273,19676,1934,99.7400000000,100.0100000000,1,1,0,1,nan,0.1250000000,100.0000000000,-1
1577,92.2376000009,90,99.9900000000,100.0100000000,0,0,157.800000,99.7000000000,100.0057575758,0.0200000000,26,7,0.575758,-8880.7623999991,8973.0000000000,117.3209483186,-27.9409483189,-2.8576000000,14288,19692,1936,99.6700000000,100.0000000000,1,0,0,0,nan,nan,99.9900000000,-1
1578,98.9594000009,97,99.9900000000,100.0100000000,0,0,157.900000,99.7900000000,100.0014285714,0.0200000000,8,6,0.142857,-9580.6705999991,9679.6300000000,117.3204933373,-21.2204933375,-2.8594000000,14297,19704,1937,99.5400000000,100.0000000000,1,0,0,0,nan,nan,99.9900000000,-1
1579,100.7604000009,98,99.9800000000,100.0100000000,0,0,158.000000,99.8100000000,100.0050000000,0.0300000000,20,4,0.666667,-9680.6195999991,9781.3800000000,117.3237156941,-19.4237156944,-2.8604000000,14302,19710,1938,99.5900000000,100.0000000000,1,0,0,0,nan,nan,99.9900000000,-1
1580,90.9724000009,102,99.9800000000,99.9900000000,0,0,158.100000,99.7200000000,99.9840000000,0.0100000000,4,6,-0.200000,-10080.4675999991,10171.4400000000,117.3107931684,-29.2007931687,-2.8624000000,14312,19713,1939,nan,99.9900000000,0,1,0,1,nan,0.1666666667,99.9800000000,-1
1581,96.7336000009,104,99.9700000000,99.9900000000,0,0,158.200000,99.7800000000,99.9833333333,0.0200000000,6,3,0.333333,-10280.3863999991,10377.1200000000,117.2790828932,-23.4090828935,-2.8636000000,14318,19724,1941,nan,nan,0,0,0,0,nan,nan,99.9700000000,-1
1582,99.1844000009,102,99.9600000000,99.9800000000,0,0,158.300000,99.8000000000,99.9720000000,0.0200000000,12,8,0.200000,-10080.4155999991,10179.6000000000,117.2044956431,-20.8844956434,-2.8644000000,14322,19730,1941,99.5400000000,99.9800000000,1,1,0,1,nan,0.1250000000,99.9700000000,-1
1583,101.6162000009,107,99.9500000000,99.9700000000,0,0,158.400000,99.8300000000,99.9633333333,0.0200000000,10,5,0.333333,-10580.1937999991,10681.8100000000,117.1391779675,-18.3891779678,-2.8662000000,14331,19745,1943,99.5300000000,99.9700000000,1,1,0,1,nan,0.2000000000,99.9600000000,-1
1584,117.7080000009,106,99.9500000000,99.9600000000,0,0,158.500000,99.9800000000,99.9533333333,0.0100000000,5,10,-0.333333,-10480.1719999991,10597.8800000000,116.9583310569,-2.1183310572,-2.8680000000,14340,19765,1945,99.6100000000,99.9600000000,1,1,0,1,nan,0.1000000000,99.9600000000,1
1585,118.4998000009,97,99.9500000000,99.9700000000,0,0,158.600000,99.9900000000,99.9655555556,0.0200000000,7,2,0.555556,-9580.5301999991,9699.0300000000,116.5984727596,-0.9684727599,-2.8698000000,14349,19777,1946,99.7500000000,99.9600000000,1,0,0,0,nan,nan,99.9600000000,1
1586,125.3518000009,87,99.9500000000,99.9900000000,0,0,158.700000,100.0700000000,99.9766666667,0.0400000000,6,3,0.333333,-8580.7381999991,8706.0900000000,116.3886302070,6.0913697927,-2.8718000000,14359,19783,1947,nan,99.9600000000,0,0,0,0,nan,nan,99.9900000000,1
1587,126.9440000009,76,99.9500000000,99.9800000000,0,0,158.800000,100.1000000000,99.9725000000,0.0300000000,3,1,0.500000,-7480.6559999991,7607.6000000000,116.4688033992,7.6011966005,-2.8740000000,14370,19792,1947,99.8800000000,99.9800000000,1,1,0,1,nan,1.0000000000,99.9600000000,1
1588,128.3058000009,67,99.9500000000,100.0400000000,0,0,158.900000,100.1300000000,99.9725000000,0.0900000000,2,6,-0.500000,-6580.4041999991,6708.7100000000,116.7189451019,8.7110548978,-2.8758000000,14379,19799,1948,99.9200000000,100.0400000000,1,1,0,1,nan,0.1666666667,100.0400000000,1
1589,121.7174000009,59,99.9900000000,100.0000000000,0,0,159.000000,100.0300000000,99.9960000000,0.0100000000,3,2,0.200000,-5780.0525999991,5901.7700000000,117.0690710599,1.7709289399,-2.8774000000,14387,19806,1949,99.9700000000,100.0000000000,1,1,0,1,nan,0.5000000000,100.0300000000,-1
1590,122.8082000009,57,99.9900000000,100.0200000000,0,0,159.100000,100.0500000000,100.0125000000,0.0300000000,3,1,0.500000,-5580.0417999991,5702.8500000000,117.0694567434,2.8605432563,-2.8782000000,14391,19810,1950,99.9000000000,100.0000000000,1,0,0,0,nan,nan,100.0000000000,1
1591,126.0190000009,53,99.9900000000,100.0600000000,0,0,159.200000,100.1100000000,99.9980769231,0.0700000000,3,23,-0.769231,-5179.8109999991,5305.8300000000,117.3001966211,5.8398033787,-2.8790000000,14395,19822,1951,99.9200000000,100.0000000000,1,0,0,0,nan,nan,100.0600000000,1
1592,123.8900000009,50,100.0300000000,100.0500000000,0,0,159.300000,100.0700000000,100.0350000000,0.0200000000,1,3,-0.500000,-4879.6099999991,5003.5000000000,117.4916635380,3.5183364617,-2.8800000000,14400,19826,1952,99.9700000000,100.0400000000,1,0,0,0,nan,nan,100.0500000000,1
1593,121.4206000009,49,99.9900000000,100.0200000000,0,0,159.400000,100.0200000000,100.0100000000,0.0300000000,4,2,0.333333,-4779.5593999991,4900.9800000000,117.5325896619,1.0074103379,-2.8806000000,14403,19834,1953,99.9400000000,100.0200000000,1,0,0,1,nan,0.0000000000,100.0000000000,1
1594,121.8212000009,46,100.0100000000,100.0300000000,0,0,159.500000,100.0300000000,100.0233333333,0.0200000000,2,1,0.333333,-4479.5587999991,4601.3800000000,117.5342678458,1.4057321539,-2.8812000000,14406,19837,1954,99.9000000000,100.0000000000,1,0,0,0,nan,nan,100.0200000000,-1
1595,123.0620000009,42,100.0100000000,100.0500000000,0,0,159.600000,100.0600000000,100.0180000000,0.0400000000,1,4,-0.600000,-4079.4579999991,4202.5200000000,117.6365054244,2.5434945753,-2.8820000000,14410,19839,1955,99.9200000000,100.0200000000,1,0,0,0,nan,nan,100.0500000000,1
1596,123.0620000009,42,100.0200000000,100.0300000000,0,0,159.700000,100.0600000000,100.0233333333,0.0100000000,2,4,-0.333333,-4079.4579999991,4202.5200000000,117.6365054244,2.5434945753,-2.8820000000,14410,19844,1956,99.9600000000,100.0300000000,1,1,0,1,nan,0.2500000000,100.0100000000,-1
1597,121.3922000009,41,100.0200000000,100.0600000000,0,0,159.800000,100.0200000000,100.0213793103,0.0400000000,1,28,-0.931034,-3979.4277999991,4100.8200000000,117.6670648191,0.8429351807,-2.8822000000,14411,19857,1957,99.9700000000,100.0300000000,1,0,0,0,nan,nan,100.0500000000,1
1598,122.9138000009,33,100.0300000000,100.0600000000,0,0,159.900000,100.0600000000,100.0312000000,0.0300000000,1,24,-0.920000,-3179.0661999991,3301.9800000000,118.0315399763,1.9984600235,-2.8838000000,14419,19862,1958,99.9600000000,100.0400000000,1,0,0,0,nan,nan,100.0400000000,1
1599,119.7140000009,32,100.0000000000,100.0200000000,0,0,160.000000,99.9600000000,100.0120000000,0.0200000000,3,2,0.200000,-3079.0059999991,3198.7200000000,118.0920993709,-1.2620993712,-2.8840000000,14420,19866,1959,99.9200000000,100.0300000000,1,1,0,0,nan,nan,100.0100000000,-1
1600,117.5346000009,35,99.9800000000,100.0000000000,0,0,160.100000,99.9000000000,99.9875000000,0.0200000000,6,10,-0.250000,-3378.9653999991,3496.5000000000,118.0920993709,-3.4420993712,-2.8846000000,14423,19884,1961,99.8200000000,100.0000000000,1,1,0,1,nan,0.1000000000,99.9800000000,-1
1601,117.4074000009,43,99.9700000000,99.9800000000,0,0,160.200000,99.9100000000,99.9729411765,0.0100000000,5,12,-0.411765,-4178.7225999991,4296.1300000000,118.0694700443,-3.5494700445,-2.8874000000,14437,19907,1963,99.8500000000,99.9800000000,1,1,0,1,nan,0.0833333333,99.9700000000,-1
1602,122.5592000009,42,99.9600000000,99.9800000000,0,0,160.300000,100.0300000000,99.9676190476,0.0200000000,8,13,-0.238095,-4078.7007999991,4201.2600000000,118.0163349331,1.6536650666,-2.8892000000,14446,19914,1965,nan,nan,0,0,0,0,nan,nan,99.9800000000,1
1603,121.0826000009,29,99.9900000000,100.0000000000,0,0,160.400000,100.0000000000,99.9908333333,0.0100000000,1,11,-0.833333,-2778.9173999991,2900.0000000000,117.8789693831,0.3110306166,-2.8926000000,14463,19932,1965,99.9600000000,100.0100000000,1,1,0,0,nan,nan,99.9900000000,1
1604,121.9242000009,21,99.9800000000,100.0000000000,0,0,160.500000,100.0400000000,99.9812903226,0.0200000000,2,29,-0.870968,-1978.9157999991,2100.8400000000,117.9647709325,1.0652290672,-2.8942000000,14471,19980,1967,99.9100000000,100.0000000000,1,1,0,1,nan,0.0344827586,100.0000000000,1
1605,121.6470000009,7,99.9900000000,100.0000000000,0,0,160.600000,100.0800000000,99.9960606061,0.0100000000,20,13,0.212121,-578.9129999991,700.5600000000,118.1149236440,0.6350763557,-2.8970000000,14485,20012,1969,99.9900000000,100.1000000000,1,1,1,0,0.0500000000,nan,100.0000000000,1
1606,121.0884000009,0,99.9900000000,100.0000000000,0,0,160.700000,100.0100000000,99.9975000000,0.0100000000,18,6,0.500000,121.0884000009,0.0000000000,118.1899999997,0.0000000000,-2.8984000000,14492,20022,1970,99.9900000000,100.0400000000,1,1,1,0,0.0555555556,nan,100.0000000000,1
1607,120.9502000009,-9,100.0000000000,100.0200000000,0,0,160.800000,100.0200000000,100.0085714286,0.0200000000,3,4,-0.142857,1021.1302000009,-900.1800000000,118.1899999997,-0.1400000000,-2.9002000000,14501,20047,1972,100.0000000000,100.0800000000,1,1,1,0,0.3333333333,nan,100.0200000000,1
1608,121.1424000009,0,100.0000000000,100.0100000000,0,0,160.900000,99.9400000000,100.0080000000,0.0100000000,8,2,0.600000,121.1424000009,0.0000000000,118.2399999997,0.0000000000,-2.9024000000,14512,20055,1972,100.0000000000,100.0700000000,1,1,1,0,0.1250000000,nan,100.0000000000,-1
1609,119.8152000009,14,99.9900000000,100.0100000000,0,0,161.000000,99.9000000000,99.9983870968,0.0200000000,13,18,-0.161290,-1278.7847999991,1398.6000000000,118.2399999997,-1.3300000000,-2.9052000000,14526,20085,1974,99.9100000000,100.0100000000,1,1,0,1,nan,0.0555555556,99.9900000000,-1
1610,121.3070000009,21,99.9900000000,100.0000000000,0,0,161.100000,100.0000000000,99.9933333333,0.0100000000,5,10,-0.333333,-1978.6929999991,2100.0000000000,118.2558823527,0.1441176471,-2.9070000000,14535,20103,1976,99.8800000000,100.0000000000,1,1,0,1,nan,0.1000000000,99.9900000000,-1
1611,122.4084000009,18,99.9900000000,100.0000000000,0,0,161.200000,100.0600000000,99.9978947368,0.0100000000,15,4,0.578947,-1678.6715999991,1801.0800000000,118.2915601020,1.2084398977,-2.9084000000,14542,20125,1978,99.9900000000,100.0600000000,1,1,1,0,0.0666666667,nan,100.0000000000,1
1612,122.1512000009,8,100.0000000000,100.0100000000,0,0,161.300000,100.0900000000,100.0053333333,0.0100000000,8,7,0.066667,-678.5687999991,800.7200000000,118.4687144072,0.7712855925,-2.9112000000,14556,20138,1980,100.0000000000,100.0500000000,1,1,1,0,0.1250000000,nan,100.0000000000,-1
1613,121.3442000009,-7,100.0000000000,100.0300000000,0,0,161.400000,100.0600000000,100.0272727273,0.0300000000,10,1,0.818182,821.7642000009,-700.4200000000,118.6399999997,-0.2100000000,-2.9142000000,14571,20143,1980,100.0000000000,100.0800000000,1,1,1,0,0.1000000000,nan,100.0300000000,1
1614,121.6848000009,-6,100.0300000000,100.0400000000,0,0,161.500000,100.0100000000,100.0309523810,0.0100000000,2,19,-0.809524,721.7448000009,-600.0600000000,118.6424999997,0.1275000000,-2.9148000000,14574,20157,1982,100.0200000000,100.0900000000,1,1,0,0,nan,nan,100.0300000000,-1
1615,121.5962000009,-1,100.0200000000,100.0300000000,0,0,161.600000,100.0500000000,100.0275000000,0.0100000000,3,1,0.500000,221.6462000009,-100.0500000000,118.6999999997,-0.0200000000,-2.9162000000,14581,20176,1984,99.9800000000,100.0400000000,1,1,0,0,nan,nan,100.0300000000,1
1616,121.8282000009,-7,100.0300000000,100.0400000000,0,0,161.700000,100.0100000000,100.0355000000,0.0100000000,22,18,0.100000,821.8982000009,-700.0700000000,118.7155555553,0.1944444444,-2.9182000000,14591,20212,1986,100.0300000000,100.1100000000,1,1,1,0,0.0454545455,nan,100.0300000000,-1
1617,120.8604000009,-10,100.0300000000,100.0400000000,0,0,161.800000,100.1200000000,100.0360714286,0.0100000000,17,11,0.214286,1122.0604000009,-1001.2000000000,118.7466666664,-0.8066666667,-2.9204000000,14602,20217,1987,100.0300000000,100.1100000000,1,1,1,0,0.0588235294,nan,100.0400000000,1
1618,120.0124000009,-14,100.0300000000,100.0400000000,0,0,161.900000,100.1600000000,100.0387500000,0.0100000000,14,2,0.750000,1522.2524000009,-1402.2400000000,118.7749999997,-1.6850000000,-2.9224000000,14612,20224,1988,100.0300000000,nan,1,0,1,0,0.0714285714,nan,100.0400000000,1
1619,119.8452000009,-22,100.0300000000,100.0500000000,0,0,162.000000,100.1300000000,100.0415789474,0.0200000000,11,8,0.157895,2322.7052000009,-2202.8600000000,118.8122450346,-1.8922450349,-2.9252000000,14626,20238,1988,100.0300000000,100.1800000000,1,1,1,0,0.0909090909,nan,100.0300000000,-1
1620,118.1576000009,-32,100.0400000000,100.0600000000,0,0,162.100000,100.1600000000,100.0440000000,0.0200000000,8,32,-0.600000,3323.2776000009,-3205.1200000000,118.8188368668,-3.5888368671,-2.9276000000,14638,20247,1990,100.0400000000,100.1700000000,1,1,1,0,0.1250000000,nan,100.0600000000,1
1621,118.6702000009,-39,100.0500000000,100.0600000000,0,0,162.200000,100.1300000000,100.0512500000,0.0100000000,3,21,-0.750000,4023.7402000009,-3905.0700000000,118.8274157058,-3.0874157061,-2.9302000000,14651,20253,1992,100.0500000000,100.2100000000,1,1,1,0,0.3333333333,nan,100.0500000000,-1
1622,120.9814000009,-43,100.0500000000,100.0600000000,0,0,162.300000,100.0700000000,100.0516666667,0.0100000000,3,15,-0.666667,4423.9914000009,-4303.0100000000,118.8291037126,-0.7791037129,-2.9314000000,14657,20257,1993,100.0500000000,100.2000000000,1,1,1,0,0.3333333333,nan,100.0600000000,1
1623,128.1724000009,-42,100.0400000000,100.0600000000,0,0,162.400000,99.9000000000,100.0476190476,0.0200000000,8,13,-0.238095,4323.9724000009,-4195.8000000000,118.8454857025,6.3945142973,-2.9324000000,14662,20268,1994,100.0500000000,100.1400000000,0,1,0,0,nan,nan,100.0400000000,-1
1624,127.4760000009,-28,100.0000000000,100.0500000000,0,0,162.500000,99.8600000000,100.0400000000,0.0500000000,16,4,0.600000,2923.5560000009,-2796.0800000000,119.1637084309,5.3762915688,-2.9360000000,14680,20273,1995,99.9200000000,100.0400000000,1,0,0,0,nan,nan,100.0200000000,-1
1625,124.8284000009,-18,100.0000000000,100.0100000000,0,0,162.600000,99.9300000000,100.0050000000,0.0100000000,3,3,0.000000,1923.5684000009,-1798.7400000000,119.7266902773,2.1633097224,-2.9384000000,14692,20277,1996,99.8800000000,100.0100000000,1,1,0,1,nan,0.3333333333,100.0000000000,-1
1626,124.0406000009,-13,99.9900000000,100.0000000000,0,0,162.700000,99.9700000000,99.9955172414,0.0100000000,16,13,0.103448,1423.6506000009,-1299.6100000000,120.1638810966,0.9361189031,-2.9406000000,14703,20305,1998,99.9400000000,100.0000000000,1,1,0,1,nan,0.0769230769,99.9900000000,-1
1627,124.0618000009,-9,99.9900000000,100.0000000000,0,0,162.800000,99.9600000000,99.9942857143,0.0100000000,12,16,-0.142857,1023.7018000009,-899.6400000000,120.4239268286,0.6960731711,-2.9418000000,14709,20317,2000,99.9900000000,100.0200000000,1,1,1,0,0.0833333333,nan,100.0000000000,1
1628,123.8134000009,-5,99.9900000000,100.0000000000,0,0,162.900000,99.9900000000,99.9939285714,0.0100000000,11,17,-0.214286,623.7634000009,-499.9500000000,120.7079756093,0.1620243904,-2.9434000000,14717,20323,2000,99.9900000000,100.0400000000,1,1,1,0,0.0909090909,nan,100.0000000000,1
1629,122.3346000009,-11,99.9900000000,100.0000000000,0,0,163.000000,100.1300000000,99.9940000000,0.0100000000,10,15,-0.200000,1223.7646000009,-1101.4300000000,120.7079756093,-1.3179756096,-2.9446000000,14723,20344,2002,99.9800000000,100.0300000000,1,1,0,0,nan,nan,100.0000000000,1
1630,120.4160000009,-16,99.9900000000,100.0000000000,0,0,163.100000,100.2100000000,99.9968000000,0.0100000000,17,8,0.360000,1723.7760000009,-1603.3600000000,120.7249771337,-3.2549771340,-2.9460000000,14730,20356,2004,99.9900000000,100.1900000000,1,1,1,0,0.0588235294,nan,100.0000000000,1
1631,118.3482000009,-25,99.9900000000,100.0200000000,0,0,163.200000,100.2200000000,100.0140000000,0.0300000000,16,4,0.600000,2623.8482000009,-2505.5000000000,120.7397509004,-5.3397509007,-2.9482000000,14741,20365,2005,99.9900000000,100.2600000000,1,1,1,0,0.0625000000,nan,100.0200000000,1
1632,117.7408000009,-30,100.0200000000,100.0300000000,0,0,163.300000,100.2100000000,100.0275000000,0.0100000000,3,1,0.500000,3124.0408000009,-3006.3000000000,120.7364980811,-5.9464980813,-2.9508000000,14754,20387,2007,100.0200000000,100.3000000000,1,1,1,0,0.3333333333,nan,100.0300000000,1
1633,119.0630000009,-35,100.0400000000,100.0500000000,0,0,163.400000,100.1500000000,100.0481818182,0.0100000000,9,2,0.636364,3624.3130000009,-3505.2500000000,120.7119366003,-4.6019366006,-2.9530000000,14765,20402,2009,100.0400000000,100.2600000000,1,1,1,0,0.1111111111,nan,100.0500000000,1
1634,116.6956000009,-46,100.0400000000,100.0700000000,0,0,163.500000,100.1800000000,100.0462790698,0.0300000000,9,34,-0.581395,4724.9756000009,-4608.2800000000,120.6984834957,-6.9584834960,-2.9556000000,14778,20408,2011,nan,nan,0,0,0,0,nan,nan,100.0600000000,1
1635,120.2474000009,-51,100.0600000000,100.0700000000,0,0,163.600000,100.1000000000,100.0606896552,0.0100000000,2,27,-0.862069,5225.3474000009,-5105.1000000000,120.6431830686,-3.3531830689,-2.9574000000,14787,20418,2011,100.0500000000,100.3000000000,1,1,0,0,nan,nan,100.0600000000,-1
1636,120.2086000009,-53,100.0600000000,100.0700000000,0,0,163.700000,100.1000000000,100.0643902439,0.0100000000,18,23,-0.121951,5425.5086000009,-5305.3000000000,120.5930606429,-3.3430606431,-2.9586000000,14793,20438,2013,100.0600000000,100.1900000000,1,1,1,0,0.0555555556,nan,100.0700000000,1
1637,120.8198000009,-51,100.0600000000,100.0700000000,0,0,163.800000,100.0900000000,100.0642105263,0.0100000000,16,22,-0.157895,5225.4098000009,-5104.5900000000,120.5050078593,-2.6450078595,-2.9598000000,14799,20448,2014,100.0600000000,100.2300000000,1,1,1,0,0.0625000000,nan,100.0600000000,-1
1638,119.6908000009,-54,100.0600000000,100.0700000000,0,0,163.900000,100.1100000000,100.0642424242,0.0100000000,14,19,-0.151515,5525.6308000009,-5405.9400000000,120.4831449601,-3.7531449603,-2.9608000000,14804,20456,2015,100.0600000000,100.2400000000,1,1,1,0,0.0714285714,nan,100.0700000000,1
