step,equity,inventory,bid,ask,bid_missing,ask_missing,t,mid_mark,microprice,spread,bid_sz,ask_sz,imbalance,cash,inv_value,realized_pnl,unreal_pnl,fees_paid,mm_fills,mm_cancels_sub,mm_cancels_ok,mm_bid_px,mm_ask_px,mm_bid_qty,mm_ask_qty,mm_at_best_bid,mm_at_best_ask,tob_share_bid,tob_share_ask,last_trade_px,last_trade_sign
55,-5.0754000000,-21,99.9100000000,99.9200000000,0,0,5.600000,99.9400000000,99.9102941176,0.0100000000,1,33,-0.941176,2093.6646000000,-2098.7400000000,-4.4909052154,-0.6690947846,-0.0846000000,423,771,80,99.8600000000,99.9200000000,1,1,0,1,nan,0.0303030303,99.9100000000,1
56,-3.3828000000,-24,99.8900000000,99.9000000000,0,0,5.700000,99.8700000000,99.8982142857,0.0100000000,23,5,0.642857,2393.4972000000,-2396.8800000000,-4.3968244528,0.9268244528,-0.0872000000,436,796,82,99.8800000000,99.9400000000,1,1,0,0,nan,nan,99.9000000000,1
57,-3.5218000000,-29,99.8900000000,99.9000000000,0,0,5.800000,99.8800000000,99.8996551724,0.0100000000,28,1,0.931034,2892.9982000000,-2896.5200000000,-4.3968244528,0.7868244528,-0.0882000000,441,816,84,99.8900000000,99.9600000000,1,1,1,0,0.0357142857,nan,99.8900000000,-1
58,-6.4112000000,-26,99.8900000000,99.9000000000,0,0,5.900000,99.9900000000,99.8996969697,0.0100000000,32,1,0.939394,2593.3288000000,-2599.7400000000,-4.3454288197,-2.1545711803,-0.0888000000,444,825,86,nan,nan,0,0,0,0,nan,nan,99.9000000000,1
59,-5.5700000000,-32,99.9100000000,99.9200000000,0,0,6.000000,99.9500000000,99.9109375000,0.0100000000,3,29,-0.812500,3192.8300000000,-3198.4000000000,-4.3454288197,-1.3145711803,-0.0900000000,450,830,86,99.9000000000,100.0400000000,1,1,0,0,nan,nan,99.9200000000,1
60,-5.4092000000,-28,99.9100000000,99.9200000000,0,0,6.100000,99.9500000000,99.9128205128,0.0100000000,11,28,-0.435897,2793.1908000000,-2798.6000000000,-4.3497502173,-1.1502497827,-0.0908000000,454,847,88,99.9100000000,100.0100000000,1,1,1,0,0.0909090909,nan,99.9100000000,-1
61,-4.8186000000,-27,99.9100000000,99.9200000000,0,0,6.200000,99.9300000000,99.9130555556,0.0100000000,11,25,-0.388889,2693.2914000000,-2698.1100000000,-4.3519109160,-0.5580890840,-0.0914000000,457,855,89,99.9100000000,100.0300000000,1,1,1,0,0.0909090909,nan,99.9200000000,1
62,-6.9168000000,-34,99.9100000000,99.9200000000,0,0,6.300000,99.9900000000,99.9144444444,0.0100000000,12,15,-0.111111,3392.7432000000,-3399.6600000000,-4.3521998119,-2.6578001881,-0.0932000000,466,863,90,99.9100000000,100.0500000000,1,1,1,0,0.0833333333,nan,99.9200000000,1
63,-7.3950000000,-41,99.9100000000,99.9200000000,0,0,6.400000,99.9900000000,99.9190909091,0.0100000000,10,1,0.818182,4092.1950000000,-4099.5900000000,-4.3488141021,-3.1411858979,-0.0950000000,475,867,91,99.9100000000,100.0900000000,1,1,1,0,0.1000000000,nan,99.9200000000,1
64,-9.7926000000,-49,99.9100000000,99.9300000000,0,0,6.500000,100.0300000000,99.9153846154,0.0200000000,7,19,-0.461538,4891.6774000000,-4901.4700000000,-4.3408835459,-5.5491164541,-0.0974000000,487,875,93,nan,nan,0,0,0,0,nan,nan,99.9300000000,1
